,2017-2022 NAICS to SIC Crosswalk,,
SIC,NAICS,SIC Description,NAICS Description
116,111110,Soybeans,Soybean Farming
119,111120,"Cash Grains, Nec",Oilseed (except Soybean) Farming
119,111130,"Cash Grains, Nec",Dry Pea and Bean Farming
111,111140,wheat,Wheat Farming
115,111150,Corn,Corn Farming
119,111150,"Cash Grains, Nec",Corn Farming
112,111160,Rice,Rice Farming
119,111191,"Cash Grains, Nec",Oilseed and Grain Combination Farming
119,111199,"Cash Grains, Nec",All Other Grain Farming
139,111199,"Field Crops, Except Cash Grain",All Other Grain Farming
134,111211,Irish Potatoes,Potato Farming
139,111211,"Field Crops, Except Cash Grain",Potato Farming
161,111211,Vegetables and Melons,Potato Farming
139,111219,"Field Crops, Except Cash Grain","Other Vegetable (except Potato) and MelonFarming"
161,111219,Vegetables and Melons,"Other Vegetable (except Potato) and MelonFarming"
174,111310,Citrus Fruits,Orange Groves
174,111320,Citrus Fruits,Citrus (except Orange) Groves
175,111331,Deciduous Tree Fruits,Apple Orchards
172,111332,Grapes,Grape Vineyards
171,111333,Berry Crops,Strawberry Farming
171,111334,Berry Crops,Berry (except Strawberry) Farming
173,111335,Tree Nuts,Tree Nut Farming
179,111336,"Fruits and Tree Nuts, Nec",Fruit and Tree Nut Combination Farming
175,111339,Deciduous Tree Fruits,Other Noncitrus Fruit Farming
179,111339,"Fruits and Tree Nuts, Nec",Other Noncitrus Fruit Farming
182,111411,Food Crops Grown Under Cover,Mushroom Production
182,111419,Food Crops Grown Under Cover,Other Food Crops Grown Under Cover
181,111421,Ornamental Nursery Products,Nursery and Tree Production
811,111421,Timber Tracts,Nursery and Tree Production
181,111422,Ornamental Nursery Products,Floriculture Production
132,111910,Tobacco,Tobacco Farming
131,111920,Cotton,Cotton Farming
133,111930,Sugarcane and Sugar Beets,Sugarcane Farming
139,111940,"Field Crops, Except Cash Grain",Hay Farming
133,111991,Sugarcane and Sugar Beets,Sugar Beet Farming
139,111992,"Field Crops, Except Cash Grain",Peanut Farming
139,111998,"Field Crops, Except Cash Grain",All Other Miscellaneous Crop Farming
191,111998,"General Farms, Primarily Crop",All Other Miscellaneous Crop Farming
831,111998,Forest Products,All Other Miscellaneous Crop Farming
919,111998,Miscellaneous Marine Products,All Other Miscellaneous Crop Farming
2099,111998,"Food Preparations, Nec",All Other Miscellaneous Crop Farming
212,112111,"Beef Cattle, Except Feedlots",Beef Cattle Ranching and Farming
241,112111,Dairy Farms,Beef Cattle Ranching and Farming
211,112112,Beef Cattle Feedlots,Cattle Feedlots
241,112120,Dairy Farms,Dairy Cattle and Milk Production
213,112210,Hogs,Hog and Pig Farming
252,112310,Chicken Eggs,Chicken Egg Production
251,112320,"Broiler, Fryer, and Roaster Chickens","Broilers and Other Meat Type ChickenProduction"
253,112330,Turkeys and Turkey Eggs,Turkey Production
254,112340,Poultry Hatcheries,Poultry Hatcheries
259,112390,"Poultry and Eggs, Nec",Other Poultry Production
214,112410,Sheep and Goats,Sheep Farming
214,112420,Sheep and Goats,Goat Farming
273,112511,Animal Aquaculture,Finfish Farming and Fish Hatcheries
921,112511,Fish Hatcheries and Preserves,Finfish Farming and Fish Hatcheries
273,112512,Animal Aquaculture,Shellfish Farming
919,112512,Miscellaneous Marine Products,Shellfish Farming
921,112512,Fish Hatcheries and Preserves,Shellfish Farming
139,112519,"Field Crops, Except Cash Grain",Other Aquaculture
191,112519,"General Farms, Primarily Crop",Other Aquaculture
273,112519,Animal Aquaculture,Other Aquaculture
279,112519,"Animal Specialties, Nec",Other Aquaculture
831,112519,Forest Products,Other Aquaculture
919,112519,Miscellaneous Marine Products,Other Aquaculture
2099,112519,"Food Preparations, Nec",Other Aquaculture
279,112910,"Animal Specialties, Nec",Apiculture
272,112920,Horses and Other Equines,Horses and Other Equine Production
271,112930,Fur-bearing Animals and Rabbits,Fur-Bearing Animal and Rabbit Production
219,112990,"General Livestock, Nec",All Other Animal Production
279,112990,"Animal Specialties, Nec",All Other Animal Production
291,112990,"General Farms, Primarily animals",All Other Animal Production
811,113110,Timber Tracts,Timber Tract Operations
831,113210,Forest Products,"Forest Nurseries and Gathering of ForestProducts"
2411,113310,Logging,Logging
912,114111,Finfish,Finfish Fishing
913,114112,Shellfish,Shellfish Fishing
919,114112,Miscellaneous Marine Products,Shellfish Fishing
919,114119,Miscellaneous Marine Products,Other Marine Fishing
971,114210,"Hunting, Trapping, Game Propagation",Hunting and Trapping
724,115111,Cotton Ginning,Cotton Ginning
711,115112,Soil Preparation Services,"Soil Preparation, Planting, and Cultivating"
721,115112,Crop Planting and Protection,"Soil Preparation, Planting, and Cultivating"
722,115113,Crop Harvesting,"Crop Harvesting, Primarily by Machine"
723,115114,Crop Preparation Services For Market,"Postharvest Crop Activities (except CottonGinning)"
761,115115,Farm Labor Contractors,Farm Labor Contractors and Crew Leaders
762,115116,Farm Management Services,Farm Management Services
751,115210,"Livestock Services, Except Veterinary",Support Activities for Animal Production
752,115210,Animal Specialty Services,Support Activities for Animal Production
7699,115210,"Repair Services, Nec",Support Activities for Animal Production
851,115310,Forestry Services,Support Activities for Forestry
1311,211120,Crude Petroleum and Natural Gas,Crude Petroleum Extraction
1321,211130,Natural Gas Liquids,Natural Gas Extraction
1221,212111,"Bituminous Coal and Lignite-surfaceMining",Bituminous Coal and Lignite Surface Mining
1222,212112,Bituminous Coal-underground Mining,Bituminous Coal Underground Mining
1231,212113,Anthracite Mining,Anthracite Mining
1011,212210,Iron Ores,Iron Ore Mining
1041,212221,Gold Ores,Gold Ore Mining
1044,212222,Silver Ores,Silver Ore Mining
1021,212230,Copper Ores,"Copper, Nickel, Lead, and Zinc Mining"
1031,212230,Lead and Zinc Ores,"Copper, Nickel, Lead, and Zinc Mining"
1061,212230,"Ferroalloy Ores, Except Vanadium","Copper, Nickel, Lead, and Zinc Mining"
1094,212291,Uranium-radium-vanadium Ores,Uranium-Radium-Vanadium Ore Mining
1061,212299,"Ferroalloy Ores, Except Vanadium",All Other Metal Ore Mining
1099,212299,"Metal Ores, Nec",All Other Metal Ore Mining
1411,212311,Dimension Stone,Dimension Stone Mining and Quarrying
1422,212312,Crushed and Broken Limestone,"Crushed and Broken Limestone Mining andQuarrying"
1423,212313,Crushed and Broken Granite,"Crushed and Broken Granite Mining andQuarrying"
1429,212319,"Crushed and Broken Stone, Nec","Other Crushed and Broken Stone Miningand Quarrying"
1499,212319,Miscellaneous Nonmetallic Mining,"Other Crushed and Broken Stone Miningand Quarrying"
1442,212321,Construction Sand and Gravel,Construction Sand and Gravel Mining
1446,212322,Industrial Sand,Industrial Sand Mining
1455,212324,Kaolin and Ball Clay,Kaolin and Ball Clay Mining
3295,212324,"Minerals, Ground or Treated",Kaolin and Ball Clay Mining
1459,212325,"Clay and Related Minerals, Nec","Clay and Ceramic and Refractory MineralsMining"
3295,212325,"Minerals, Ground or Treated","Clay and Ceramic and Refractory MineralsMining"
1474,212391,"Potash, Soda, and Borate Minerals","Potash, Soda, and Borate Mineral Mining"
1475,212392,Phosphate Rock,Phosphate Rock Mining
1479,212393,Chemical and Fertilizer Mining,"Other Chemical and Fertilizer MineralMining"
3295,212393,"Minerals, Ground or Treated","Other Chemical and Fertilizer MineralMining"
1499,212399,Miscellaneous Nonmetallic Mining,All Other Nonmetallic Mineral Mining
3295,212399,"Minerals, Ground or Treated",All Other Nonmetallic Mineral Mining
1381,213111,Drilling Oil and Gas Wells,Drilling Oil and Gas Wells
1382,213112,Oil and Gas Exploration Services,"Support Activities for Oil and GasOperations"
1389,213112,"Oil and Gas Field Services, Nec","Support Activities for Oil and GasOperations"
1241,213113,Coal Mining Services,Support Activities for Coal Mining
1081,213114,Metal Mining Services,Support Activities for Metal Mining
1481,213115,Nonmetallic Mineral Services,"Support Activities for Nonmetallic Minerals(except Fuels) Mining"
4911,221111,Electric Services,Hydroelectric Power Generation
4931,221111,Electric and Other Services Combined,Hydroelectric Power Generation
4939,221111,"Combination Utilities, Nec",Hydroelectric Power Generation
4911,221112,Electric Services,Fossil Fuel Electric Power Generation
4939,221112,"Combination Utilities, Nec",Fossil Fuel Electric Power Generation
4911,221113,Electric Services,Nuclear Electric Power Generation
4931,221113,Electric and Other Services Combined,Nuclear Electric Power Generation
4939,221113,"Combination Utilities, Nec",Nuclear Electric Power Generation
4911,221114,Electric Services,Solar Electric Power Generation
4931,221114,Electric and Other Services Combined,Solar Electric Power Generation
4939,221114,"Combination Utilities, Nec",Solar Electric Power Generation
4911,221115,Electric Services,Wind Electric Power Generation
4931,221115,Electric and Other Services Combined,Wind Electric Power Generation
4939,221115,"Combination Utilities, Nec",Wind Electric Power Generation
4911,221116,Electric Services,Geothermal Electric Power Generation
4931,221116,Electric and Other Services Combined,Geothermal Electric Power Generation
4939,221116,"Combination Utilities, Nec",Geothermal Electric Power Generation
4911,221117,Electric Services,Biomass Electric Power Generation
4931,221117,Electric and Other Services Combined,Biomass Electric Power Generation
4939,221117,"Combination Utilities, Nec",Biomass Electric Power Generation
4911,221118,Electric Services,Other Electric Power Generation
4931,221118,Electric and Other Services Combined,Other Electric Power Generation
4939,221118,"Combination Utilities, Nec",Other Electric Power Generation
4911,221121,Electric Services,"Electric Bulk Power Transmission andControl"
4931,221121,Electric and Other Services Combined,"Electric Bulk Power Transmission andControl"
4939,221121,"Combination Utilities, Nec","Electric Bulk Power Transmission andControl"
4911,221122,Electric Services,Electric Power Distribution
4931,221122,Electric and Other Services Combined,Electric Power Distribution
4939,221122,"Combination Utilities, Nec",Electric Power Distribution
4923,221210,Gas Transmission and Distribution,Natural Gas Distribution
4924,221210,Natural Gas Distribution,Natural Gas Distribution
4925,221210,Gas Production and/or Distribution,Natural Gas Distribution
4931,221210,Electric and Other Services Combined,Natural Gas Distribution
4932,221210,Gas and Other Services Combined,Natural Gas Distribution
4939,221210,"Combination Utilities, Nec",Natural Gas Distribution
4941,221310,Water Supply,Water Supply and Irrigation Systems
4971,221310,Irrigation Systems,Water Supply and Irrigation Systems
4952,221320,Sewerage Systems,Sewage Treatment Facilities
4961,221330,Steam and Air-conditioning Supply,Steam and Air-Conditioning Supply
1521,236115,Single-family Housing Construction,"New Single-Family Housing Construction(except For-Sale Builders)"
8741,236115,Management Services,"New Single-Family Housing Construction(except For-Sale Builders)"
1522,236116,"Residential Construction, Nec","New Multifamily Housing Construction(except For-Sale Builders)"
8741,236116,Management Services,"New Multifamily Housing Construction(except For-Sale Builders)"
1531,236117,Operative Builders,New Housing For-Sale Builders
1521,236118,Single-family Housing Construction,Residential Remodelers
1522,236118,"Residential Construction, Nec",Residential Remodelers
1531,236118,Operative Builders,Residential Remodelers
8741,236118,Management Services,Residential Remodelers
1541,236210,Industrial Buildings and Warehouses,Industrial Building Construction
1629,236210,"Heavy Construction, Nec",Industrial Building Construction
8741,236210,Management Services,Industrial Building Construction
1522,236220,"Residential Construction, Nec","Commercial and Institutional BuildingConstruction"
1531,236220,Operative Builders,"Commercial and Institutional BuildingConstruction"
1541,236220,Industrial Buildings and Warehouses,"Commercial and Institutional BuildingConstruction"
1542,236220,"Nonresidential Construction, Nec","Commercial and Institutional BuildingConstruction"
1799,236220,"Special Trade Contractors, Nec","Commercial and Institutional BuildingConstruction"
8741,236220,Management Services,"Commercial and Institutional BuildingConstruction"
1623,237110,"Water, Sewer, and Utility Lines","Water and Sewer Line and RelatedStructures Construction"
1629,237110,"Heavy Construction, Nec","Water and Sewer Line and RelatedStructures Construction"
1781,237110,Water Well Drilling,"Water and Sewer Line and RelatedStructures Construction"
8741,237110,Management Services,"Water and Sewer Line and RelatedStructures Construction"
1389,237120,"Oil and Gas Field Services, Nec","Oil and Gas Pipeline and RelatedStructures Construction"
1623,237120,"Water, Sewer, and Utility Lines","Oil and Gas Pipeline and RelatedStructures Construction"
1629,237120,"Heavy Construction, Nec","Oil and Gas Pipeline and RelatedStructures Construction"
8741,237120,Management Services,"Oil and Gas Pipeline and RelatedStructures Construction"
1623,237130,"Water, Sewer, and Utility Lines","Power and Communication Line andRelated Structures Construction"
1629,237130,"Heavy Construction, Nec","Power and Communication Line andRelated Structures Construction"
8741,237130,Management Services,"Power and Communication Line andRelated Structures Construction"
6552,237210,"Subdividers and Developers, Nec",Land Subdivision
1611,237310,Highway and Street Construction,"Highway, Street, and Bridge Construction"
1622,237310,"Bridge, Tunnel, and Elevated Highway","Highway, Street, and Bridge Construction"
1721,237310,Painting and Paper Hanging,"Highway, Street, and Bridge Construction"
8741,237310,Management Services,"Highway, Street, and Bridge Construction"
1622,237990,"Bridge, Tunnel, and Elevated Highway","Other Heavy and Civil EngineeringConstruction"
1629,237990,"Heavy Construction, Nec","Other Heavy and Civil EngineeringConstruction"
1799,237990,"Special Trade Contractors, Nec","Other Heavy and Civil EngineeringConstruction"
8741,237990,Management Services,"Other Heavy and Civil EngineeringConstruction"
1791,238120,Structural Steel Erection,"Structural Steel and Precast ConcreteContractors"
1751,238130,Carpentry Work,Framing Contractors
1741,238140,Masonry and Other Stonework,Masonry Contractors
1771,238140,Concrete Work,Masonry Contractors
1793,238150,Glass and Glazing Work,Glass and Glazing Contractors
1799,238150,"Special Trade Contractors, Nec",Glass and Glazing Contractors
1761,238160,"Roofing, Siding, and Sheetmetal Work",Roofing Contractors
1761,238170,"Roofing, Siding, and Sheetmetal Work",Siding Contractors
1791,238190,Structural Steel Erection,"Other Foundation, Structure, and BuildingExterior Contractors"
1799,238190,"Special Trade Contractors, Nec","Other Foundation, Structure, and BuildingExterior Contractors"
1711,238210,"Plumbing, Heating, Air-conditioning","Electrical Contractors and Other WiringInstallation Contractors"
1731,238210,Electrical Work,"Electrical Contractors and Other WiringInstallation Contractors"
